,Name,Quantity,Date,Cost,Order ID,Merchant_ID
61,Theta Burger,1.0,2018-03-25T18:23:36Z,749,PGGjoEMtnvQF79uPzPLJLQB,E5PYWY39PNHTN
62,Dr. Pepper,1.0,2018-03-25T18:23:36Z,200,PGGjoEMtnvQF79uPzPLJLQB,E5PYWY39PNHTN
63,Large Fry,1.0,2018-03-25T18:33:04Z,595,8hNcBFE3pMUzqbwxIc66gsMF,E5PYWY39PNHTN
64,19 W Cheeseburger,1.0,2018-03-25T18:41:46Z,745,zwen4NS2P0KvR03XNkyGWwMF,E5PYWY39PNHTN
65,Large Fry,1.0,2018-03-25T18:41:46Z,595,zwen4NS2P0KvR03XNkyGWwMF,E5PYWY39PNHTN
66,Water Bottle,1.0,2018-03-25T18:41:46Z,200,zwen4NS2P0KvR03XNkyGWwMF,E5PYWY39PNHTN
67,19 W Cheeseburger,1.0,2018-03-25T18:43:14Z,745,Ckt4cT7JMy4jjSQ7W1hWtwMF,E5PYWY39PNHTN
68,Coca Cola,1.0,2018-03-25T18:43:14Z,200,Ckt4cT7JMy4jjSQ7W1hWtwMF,E5PYWY39PNHTN
69,Shroomer,1.0,2018-03-25T18:50:06Z,995,xRDPyoqH6LDWmR17BgzGLQB,E5PYWY39PNHTN
70,Gobbler,1.0,2018-03-25T18:50:06Z,1045,xRDPyoqH6LDWmR17BgzGLQB,E5PYWY39PNHTN
71,Caesar Burger,2.0,2018-03-25T21:04:11Z,695,EDkLvMjKfnXKX8xpH9NJ8sMF,E5PYWY39PNHTN
72,19 W Cheeseburger,1.0,2018-03-25T21:04:11Z,745,EDkLvMjKfnXKX8xpH9NJ8sMF,E5PYWY39PNHTN
73,Large Fry,1.0,2018-03-25T21:04:11Z,595,EDkLvMjKfnXKX8xpH9NJ8sMF,E5PYWY39PNHTN
74,Oinking Cow,1.0,2018-03-25T21:04:11Z,995,EDkLvMjKfnXKX8xpH9NJ8sMF,E5PYWY39PNHTN
75,Avocado BLT,1.0,2018-03-25T21:08:36Z,695,vH80F4sT0aRAV8r9rGw1atMF,E5PYWY39PNHTN
76,19West House,1.0,2018-03-25T21:08:36Z,895,vH80F4sT0aRAV8r9rGw1atMF,E5PYWY39PNHTN
77,Coca Cola,2.0,2018-03-25T21:08:36Z,200,vH80F4sT0aRAV8r9rGw1atMF,E5PYWY39PNHTN
78,19 W Burger,1.0,2018-03-25T21:08:36Z,645,vH80F4sT0aRAV8r9rGw1atMF,E5PYWY39PNHTN
79,Large Fry,1.0,2018-03-25T21:08:36Z,595,vH80F4sT0aRAV8r9rGw1atMF,E5PYWY39PNHTN
80,19 W Burger,1.0,2018-03-25T21:08:36Z,645,vH80F4sT0aRAV8r9rGw1atMF,E5PYWY39PNHTN
81,Water Bottle,1.0,2018-03-25T21:08:36Z,200,vH80F4sT0aRAV8r9rGw1atMF,E5PYWY39PNHTN
82,19 W Burger,1.0,2018-03-25T21:08:36Z,645,vH80F4sT0aRAV8r9rGw1atMF,E5PYWY39PNHTN
83,Small Fry,1.0,2018-03-25T21:08:36Z,445,vH80F4sT0aRAV8r9rGw1atMF,E5PYWY39PNHTN
84,Shroomer,1.0,2018-03-25T21:14:17Z,995,X5Rq1aBSF9rCupP0EiAtUzMF,E5PYWY39PNHTN
85,Small Fry,1.0,2018-03-25T21:14:17Z,445,X5Rq1aBSF9rCupP0EiAtUzMF,E5PYWY39PNHTN
86,19 W Cheeseburger,1.0,2018-03-25T21:16:09Z,745,YqhW2OplupO7u0KmuxuTAyMF,E5PYWY39PNHTN
87,Small Fry,1.0,2018-03-25T21:16:09Z,445,YqhW2OplupO7u0KmuxuTAyMF,E5PYWY39PNHTN
88,19 W Cheeseburger,1.0,2018-03-25T21:33:35Z,745,IARlhx2pojktxwdlWnQAguMF,E5PYWY39PNHTN
89,19 W Cheeseburger,1.0,2018-03-25T21:33:35Z,745,IARlhx2pojktxwdlWnQAguMF,E5PYWY39PNHTN
90,19 W Cheeseburger,1.0,2018-03-25T21:33:35Z,745,IARlhx2pojktxwdlWnQAguMF,E5PYWY39PNHTN
91,Large Fry,1.0,2018-03-25T21:33:35Z,595,IARlhx2pojktxwdlWnQAguMF,E5PYWY39PNHTN
92,Water Bottle,1.0,2018-03-25T21:34:18Z,200,poLZeRwtE1RP7kBHme7TaxMF,E5PYWY39PNHTN
93,Large Fry,1.0,2018-03-25T21:34:18Z,595,poLZeRwtE1RP7kBHme7TaxMF,E5PYWY39PNHTN
94,Oinking Cow,1.0,2018-03-25T21:42:22Z,995,SgY1L6BqU3Y8412cPPVfYzMF,E5PYWY39PNHTN
95,Coca Cola,1.0,2018-03-25T21:42:22Z,200,SgY1L6BqU3Y8412cPPVfYzMF,E5PYWY39PNHTN
96,Large Fry,1.0,2018-03-25T21:42:22Z,595,SgY1L6BqU3Y8412cPPVfYzMF,E5PYWY39PNHTN
97,Dr. Pepper,1.0,2018-03-25T21:42:22Z,200,SgY1L6BqU3Y8412cPPVfYzMF,E5PYWY39PNHTN
98,Oinking Cow,1.0,2018-03-25T21:42:22Z,995,SgY1L6BqU3Y8412cPPVfYzMF,E5PYWY39PNHTN
99,19 W Burger,1.0,2018-03-25T21:57:00Z,645,3uGIHDnwcaaIjTpXe8NrKQB,E5PYWY39PNHTN
100,Large Fry,1.0,2018-03-25T21:57:00Z,595,3uGIHDnwcaaIjTpXe8NrKQB,E5PYWY39PNHTN
101,Avocado BLT,1.0,2018-03-25T21:57:00Z,695,3uGIHDnwcaaIjTpXe8NrKQB,E5PYWY39PNHTN
102,Diet Coke,1.0,2018-03-25T21:57:00Z,200,3uGIHDnwcaaIjTpXe8NrKQB,E5PYWY39PNHTN
103,Ginger Ale,1.0,2018-03-25T21:57:00Z,200,3uGIHDnwcaaIjTpXe8NrKQB,E5PYWY39PNHTN
104,Coca Cola,1.0,2018-03-25T22:00:17Z,200,1XvKDDLltRNsOLLmpEHyFvMF,E5PYWY39PNHTN
105,Dr. Pepper,1.0,2018-03-25T22:00:17Z,200,1XvKDDLltRNsOLLmpEHyFvMF,E5PYWY39PNHTN
106,Oinking Cow,1.0,2018-03-25T22:38:12Z,995,z82QnazgArdYUEToYqNaKQB,E5PYWY39PNHTN
107,Small Fry,1.0,2018-03-25T22:38:12Z,445,z82QnazgArdYUEToYqNaKQB,E5PYWY39PNHTN
108,Triple Dip,1.0,2018-03-25T22:38:12Z,200,z82QnazgArdYUEToYqNaKQB,E5PYWY39PNHTN
109,19 W Cheeseburger,1.0,2018-03-25T22:38:12Z,745,z82QnazgArdYUEToYqNaKQB,E5PYWY39PNHTN
110,Sprite,1.0,2018-03-25T22:38:12Z,200,z82QnazgArdYUEToYqNaKQB,E5PYWY39PNHTN
111,19 W Cheeseburger,1.0,2018-03-25T22:48:05Z,745,A5BgCLQJKg4tWn52bZiLwwMF,E5PYWY39PNHTN
112,Large Fry,1.0,2018-03-25T22:48:05Z,595,A5BgCLQJKg4tWn52bZiLwwMF,E5PYWY39PNHTN
113,Coca Cola,1.0,2018-03-25T22:48:05Z,200,A5BgCLQJKg4tWn52bZiLwwMF,E5PYWY39PNHTN
114,Small Fry,1.0,2018-03-25T23:03:50Z,445,PIBarHsUATtGTraljx2vKQB,E5PYWY39PNHTN
115,Theta Burger,2.0,2018-03-27T15:41:08Z,749,15MqwRd4Ai4TniZJnBNPLQB,E5PYWY39PNHTN
116,Small Fry,1.0,2018-03-27T15:41:08Z,445,15MqwRd4Ai4TniZJnBNPLQB,E5PYWY39PNHTN
117,Small Fry,1.0,2018-03-27T15:41:08Z,445,15MqwRd4Ai4TniZJnBNPLQB,E5PYWY39PNHTN
118,Water Bottle,1.0,2018-03-27T15:41:08Z,200,15MqwRd4Ai4TniZJnBNPLQB,E5PYWY39PNHTN
119,Diet Coke,1.0,2018-03-27T15:41:08Z,200,15MqwRd4Ai4TniZJnBNPLQB,E5PYWY39PNHTN
120,19 W Burger,1.0,2018-03-27T16:06:16Z,645,DuHSbUsPQkvg6LGrKaI5syMF,E5PYWY39PNHTN
121,19 W Cheeseburger,1.0,2018-03-27T16:36:16Z,745,BMTlJzzLnR8QeoETRuAoCzMF,E5PYWY39PNHTN
122,19 W Burger,1.0,2018-03-27T16:37:52Z,645,3EgVX8L12YKcvWet6wbPltMF,E5PYWY39PNHTN
123,19 W Cheeseburger,1.0,2018-03-27T16:37:52Z,745,3EgVX8L12YKcvWet6wbPltMF,E5PYWY39PNHTN
124,Small Fry,1.0,2018-03-27T16:37:52Z,445,3EgVX8L12YKcvWet6wbPltMF,E5PYWY39PNHTN
125,Coca Cola,1.0,2018-03-27T16:37:52Z,200,3EgVX8L12YKcvWet6wbPltMF,E5PYWY39PNHTN
126,Water Bottle,1.0,2018-03-27T16:37:52Z,200,3EgVX8L12YKcvWet6wbPltMF,E5PYWY39PNHTN
127,Oinking Cow,2.0,2018-03-28T16:16:25Z,995,nieCU5IrRAhnyTif4knCvyMF,E5PYWY39PNHTN
128,Small Fry,1.0,2018-03-28T16:16:25Z,445,nieCU5IrRAhnyTif4knCvyMF,E5PYWY39PNHTN
129,Water Bottle,1.0,2018-03-28T16:16:25Z,200,nieCU5IrRAhnyTif4knCvyMF,E5PYWY39PNHTN
130,Oinking Cow,1.0,2018-03-28T16:16:25Z,995,nieCU5IrRAhnyTif4knCvyMF,E5PYWY39PNHTN
131,Diet Coke,1.0,2018-03-28T16:16:25Z,200,nieCU5IrRAhnyTif4knCvyMF,E5PYWY39PNHTN
132,Small Fry,1.0,2018-03-28T16:16:25Z,445,nieCU5IrRAhnyTif4knCvyMF,E5PYWY39PNHTN
133,Water Bottle,1.0,2018-03-28T16:16:25Z,200,nieCU5IrRAhnyTif4knCvyMF,E5PYWY39PNHTN
134,19 W Burger,1.0,2018-03-28T16:27:12Z,645,1AfyLC5PBlxOvnOnHRU1CzMF,E5PYWY39PNHTN
135,Smashed Grilled Cheese ,1.0,2018-03-28T16:27:12Z,545,1AfyLC5PBlxOvnOnHRU1CzMF,E5PYWY39PNHTN
136,Sprite,1.0,2018-03-28T16:27:12Z,200,1AfyLC5PBlxOvnOnHRU1CzMF,E5PYWY39PNHTN
137,Diet Coke,1.0,2018-03-28T16:27:12Z,200,1AfyLC5PBlxOvnOnHRU1CzMF,E5PYWY39PNHTN
138,Large Fry,1.0,2018-03-28T16:27:12Z,595,1AfyLC5PBlxOvnOnHRU1CzMF,E5PYWY39PNHTN
139,19 W Burger,1.0,2018-03-28T16:27:12Z,645,1AfyLC5PBlxOvnOnHRU1CzMF,E5PYWY39PNHTN
140,Small Fry,1.0,2018-03-28T16:27:12Z,445,1AfyLC5PBlxOvnOnHRU1CzMF,E5PYWY39PNHTN
141,19 W Cheeseburger,1.0,2018-03-28T17:00:04Z,745,iKGXPYUjSqiH0iBOMWh4TzMF,E5PYWY39PNHTN
142,Small Fry,1.0,2018-03-28T17:00:04Z,445,iKGXPYUjSqiH0iBOMWh4TzMF,E5PYWY39PNHTN
143,19 W Cheeseburger,1.0,2018-03-28T17:00:04Z,745,iKGXPYUjSqiH0iBOMWh4TzMF,E5PYWY39PNHTN
144,Small Fry,1.0,2018-03-28T17:00:04Z,445,iKGXPYUjSqiH0iBOMWh4TzMF,E5PYWY39PNHTN
145,Oinking Cow,1.0,2018-03-28T17:00:04Z,995,iKGXPYUjSqiH0iBOMWh4TzMF,E5PYWY39PNHTN
146,Small Fry,1.0,2018-03-28T17:00:04Z,445,iKGXPYUjSqiH0iBOMWh4TzMF,E5PYWY39PNHTN
147,19 W Cheeseburger,1.0,2018-03-28T17:00:04Z,745,iKGXPYUjSqiH0iBOMWh4TzMF,E5PYWY39PNHTN
148,Oinking Cow,1.0,2018-03-28T17:00:04Z,995,iKGXPYUjSqiH0iBOMWh4TzMF,E5PYWY39PNHTN
149,Gobbler,1.0,2018-03-28T17:24:46Z,1045,tZKEsEMjLS8645xVrbtEKQB,E5PYWY39PNHTN
150,Diet Coke,1.0,2018-03-28T17:24:46Z,200,tZKEsEMjLS8645xVrbtEKQB,E5PYWY39PNHTN
151,Large Fry,1.0,2018-03-28T21:08:22Z,595,Wu7LO8UydusUmsFs0WZCzuMF,E5PYWY39PNHTN
152,Large Fry,1.0,2018-03-28T21:08:22Z,595,Wu7LO8UydusUmsFs0WZCzuMF,E5PYWY39PNHTN
153,Large Fry,1.0,2018-03-28T21:08:22Z,595,Wu7LO8UydusUmsFs0WZCzuMF,E5PYWY39PNHTN
154,Avocado BLT,2.0,2018-03-28T21:08:22Z,695,Wu7LO8UydusUmsFs0WZCzuMF,E5PYWY39PNHTN
155,19West House,1.0,2018-03-28T21:08:22Z,895,Wu7LO8UydusUmsFs0WZCzuMF,E5PYWY39PNHTN
156,19 W Burger,1.0,2018-03-28T21:08:22Z,645,Wu7LO8UydusUmsFs0WZCzuMF,E5PYWY39PNHTN
157,Water Bottle,1.0,2018-03-28T21:08:22Z,200,Wu7LO8UydusUmsFs0WZCzuMF,E5PYWY39PNHTN
158,19West House,1.0,2018-03-28T23:07:26Z,895,i8qKZtNkc23eO9ghGslqssMF,E5PYWY39PNHTN
159,19 W Cheeseburger,1.0,2018-03-28T23:07:26Z,745,i8qKZtNkc23eO9ghGslqssMF,E5PYWY39PNHTN
160,Single Dip,1.0,2018-03-28T23:15:41Z,100,ZnMBj9F9VgLLD8R8DicaKQB,E5PYWY39PNHTN
161,Large Fry,1.0,2018-03-29T15:59:17Z,595,J9wTexuczWz2kXlRaVZyCyMF,E5PYWY39PNHTN
162,Single Dip,1.0,2018-03-29T15:59:17Z,100,J9wTexuczWz2kXlRaVZyCyMF,E5PYWY39PNHTN
163,Gobbler,1.0,2018-03-29T15:59:17Z,1045,J9wTexuczWz2kXlRaVZyCyMF,E5PYWY39PNHTN
164,Diet Coke,1.0,2018-03-29T15:59:17Z,200,J9wTexuczWz2kXlRaVZyCyMF,E5PYWY39PNHTN
165,19 W Burger,1.0,2018-03-29T15:59:17Z,645,J9wTexuczWz2kXlRaVZyCyMF,E5PYWY39PNHTN
166,19 W Cheeseburger,1.0,2018-03-29T15:59:17Z,745,J9wTexuczWz2kXlRaVZyCyMF,E5PYWY39PNHTN
167,19 W Cheeseburger,1.0,2018-03-29T16:55:32Z,745,toCjUUGMugu31a3Ud6t43xMF,E5PYWY39PNHTN
168,19 W Cheeseburger,1.0,2018-03-29T16:55:32Z,745,toCjUUGMugu31a3Ud6t43xMF,E5PYWY39PNHTN
169,Large Fry,1.0,2018-03-29T16:55:32Z,595,toCjUUGMugu31a3Ud6t43xMF,E5PYWY39PNHTN
170,19 W Cheeseburger,1.0,2018-03-29T17:38:53Z,745,z2Rzr5akTEAzC6WysaLlKQB,E5PYWY39PNHTN
171,Small Fry,1.0,2018-03-29T17:38:53Z,445,z2Rzr5akTEAzC6WysaLlKQB,E5PYWY39PNHTN
172,Oinking Cow,1.0,2018-03-29T17:54:24Z,995,l1sXbzjewIJqeOPTSQewJQB,E5PYWY39PNHTN
173,Caesar Burger,1.0,2018-03-29T17:54:24Z,695,l1sXbzjewIJqeOPTSQewJQB,E5PYWY39PNHTN
174,19 W Cheeseburger,1.0,2018-03-29T17:56:59Z,745,EwFc5s4hdZMYakdG4XBl1zMF,E5PYWY39PNHTN
175,19 W Cheeseburger,1.0,2018-03-29T17:56:59Z,745,EwFc5s4hdZMYakdG4XBl1zMF,E5PYWY39PNHTN
176,Large Fry,1.0,2018-03-29T17:56:59Z,595,EwFc5s4hdZMYakdG4XBl1zMF,E5PYWY39PNHTN
177,Coca Cola,1.0,2018-03-29T17:56:59Z,200,EwFc5s4hdZMYakdG4XBl1zMF,E5PYWY39PNHTN
178,Water Bottle,1.0,2018-03-29T17:56:59Z,200,EwFc5s4hdZMYakdG4XBl1zMF,E5PYWY39PNHTN
179,19 W Cheeseburger,2.0,2018-03-29T18:22:20Z,745,sqI3es9GADSFYhRFwwm9QvMF,E5PYWY39PNHTN
